שם,תיאור,אזור,עיר,כתובת,טלפון,קטגוריה,סוג,שעות פתיחה,כשר,נגישות לנכים,אתר אינטרנט,משלוחים,חדש,latitude,longitude
קפה גרג ,בית קפה מסעדה,מרכז,גבעת שמואל,מנחם בגין 30,03-5504969,בית קפה,"איטלקי,בית קפה,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: מוצ""ש - 23:30",כשר למהדין,Y,gregcafe.co.il/,N,N,32.075764,34.854572
קפה גרג,בית קפה מסעדה,מרכז,פתח תקווה,אלעזר פרידמן 9 קניון סירקין,03-9075088,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 08:30-22:30
שישי: 08:00-14:00
שבת: שעה לאחר צאת השבת- 23:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,32.079457,34.902672
קפה גרג,בית קפה מסעדה ,ירושלים,ירושלים,קניון מלחה,02-6232023,בית קפה,"בית קפה,חלבי,כריכים-סלטים","א-ה: 08:30-23:30
שישי: 08:00-15:00
שבת: חצי שעה לאחר צאת השבת - 00:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.751102,35.187286
קפה גרג,בית קפה מסעדה,מרכז,פתח תקווה,זבוטינסקי 72,03-6428888,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 08:00-22:00
שישי: 08:00-14:00
שבת: שעה לאחר צאת השבת- 23:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,32.092729,34.865533
קפה גרג,בית קפה מסעדה,מרכז,נס ציונה,האירוסים 53 קניותר,08-6450430,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 08:30-22:30
שישי: 08:00-13:30
שבת: ",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.930155,34.798294
קפה גרג,בית קפה מסעדה,צפון,קריית אתא,דרך חיפה 32,04-6444074,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-23:00
שישי: 08:30-14:00
שבת: שעה לאחר צאת השבת- 23:00",כשר,Y,gregcafe.co.il/,N,N,32.807351,35.076339
קפה גרג,בית קפה מסעדה,מרכז,תל אביב - יפו,דיזנגוף סנטר 55,03-9366514,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:30-22:00
שישי: 09:00-14:00
שבת: ",כשר,Y,gregcafe.co.il/,N,N,32.075570,34.775837
קפה גרג,בית קפה מסעדה,צפון,טבריה,המברג 1 מתחם ביג,04-6735767,בית קפה,"חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: א'-ד'- 08:00-23:30 ה' עד 00:00
שישי: 08:00-14:30
שבת: חצי שעה מצאת השבת - 00:00",כשר,N,gregcafe.co.il/,N,N,32.784400,35.497632
קפה גרג,בית קפה מסעדה,צפון,חיפה,החרושת 8 מתחם חוצות המפרץ,04-9536003,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 08:30-22:00
שישי: 08:00-17:00
שבת: 10:00- לקוח אחרון",,Y,gregcafe.co.il/,N,N,32.809255,35.055784
קפה גרג,בית קפה מסעדה,צפון,חיפה,דרך בר יהודה 111,04-6221199,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 07:00-לקוח אחרון
שישי: 07:00-שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 00:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,32.785393,35.030812
קפה גרג,בית קפה מסעדה,צפון,צמח,"מתחם מול כנרת, צמח",04-8111922,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 08:00-לקוח אחרון
שישי: 08:00-לקוח אחרון
שבת: 08:00-לקוח אחרון",,Y,gregcafe.co.il/,N,N,32.703792,35.584735
קפה גרג,בית קפה מסעדה,צפון,קריית אתא,העצמאות 57,04-8445522,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 07:30-00:00
שישי: 07:30-14:00
שבת: 45 דק מצאת השבת-00:00",כשר למהדרין,Y,gregcafe.co.il/,Y,N,32.806200,35.103496
קפה גרג,בית קפה מסעדה,צפון,נהרייה,אירית 2  קניון נהריה,04-9930090,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 08:30-23:00
שישי: 08:00- שעה לפני כניסת שבת
שבת: חצי שעה לאחר צאת השבת - 00:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,32.990224,35.095343
קפה גרג,בית קפה מסעדה,צפון,נהרייה,בן צבי 1 קניון ארנה,04-8121118,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-22:00
שישי: 09:00-15:00
שבת: 19:00-22:00",,Y,gregcafe.co.il/,N,N,33.005191,35.100505
קפה גרג,בית קפה מסעדה,צפון,קריית חיים תאי דואר,"רח' אח""י אילת 20",04-8729999,בית קפה,"איטלקי,חלבי","א-ה: 24/7
שישי: 24/7
שבת: 24/7",,Y,gregcafe.co.il/,N,N,32.821257,35.070410
קפה גרג,בית קפה מסעדה,ירושלים,ירושלים,ירמיהו 43,02-6249213,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:30-22:00
שישי: 09:00-14:00
שבת: ",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.789824,35.200604
קפה גרג,בית קפה מסעדה,צפון,עפולה,רח' השוק 13 ביג,04-6490011,בית קפה,"בית קפה,חלבי","א-ה: 08:00-23:30
שישי: 08:00-15:30
שבת: חצי שעה לאחר צאת השבת - 00:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,32.605603,35.293630
קפה גרג,בית קפה מסעדה - קניון עזריאלי,מרכז,רמלה,שד' דוד רזיאל 1,08-9150900,בית קפה,"איטלקי,בית קפה","א-ה: 09:00-22:30
שישי: 08:30-15:00
שבת: חצי שעה לאחר צאת השבת - 22:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.925763,34.863851
קפה גרג,בית קפה מסעדה,ירושלים,מעלה אדומים,הרכס 31,02-6424990,בית קפה,"איטלקי,סושי-אסייאתי","א-ה: א'-ד' 09:00-22:30 ה'- 09:00-23:00
שישי: 08:00-13:00
שבת: חצי שעה מצאת השבת - 23:30",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.782321,35.311208
קפה גרג,בית קפה מסעדה,ירושלים,בית שמש,יגאל אלון 1 (קניון ביג פאשן),02-5401964,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: שעה לאחר צאת השבת- 23:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.756570,34.989796
קפה גרג,בית קפה מסעדה,דרום,שדרות,מנחם בגין 1 מרכז מול 7,08-9292969,בית קפה,"איטלקי,בית קפה","א-ה: 08:00-23:00
שישי: 08:00-שעתיים לפני כניסת שבת
שבת: שעה לאחר צאת השבת- 23:00",כשר למהדרין,Y,gregcafe.co.il/,Y,N,31.517603,34.589308
קפה גרג,בית קפה מסעדה,צפון,יקנעם עילית,התמר 2,054-9592288,בית קפה,"איטלקי,בית קפה","א-ה: 08:15-22:00
שישי: 08:00- 3 שעות לפני כניסת שבת
שבת: 45 דק מצאת השבת-23:30",כשר למהדרין,Y,logo_greg_cafe.jpg,Y,N,32.659856,35.105129
קפה גרג,בית קפה מסעדה,ירושלים,ירושלים,גוש עציון,02-6642223,בית קפה,"איטלקי,בית קפה","א-ה: 08:00-23:00
שישי: 08:00-15:00
שבת: שעה לאחר צאת השבת - 00:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.645244,35.130919
קפה גרג,בית קפה מסעדה,צפון,בית שאן,שטורמן 1 קניון במימין,04-6060260,בית קפה,"איטלקי,בית קפה","א-ה: 08:30-23:00
שישי: 08:00-שעה לפני כניסת שבת
שבת: חצי שעה מצאת השבת - לקוח אחרון",כשר למהדרין,Y,gregcafe.co.il/,N,N,32.499031,35.504715
קפה גרג,בית קפה מסעדה,ירושלים,ירושלים,שדרות יצחק רבין 10,02-5342292,בית קפה,"איטלקי,בית קפה","א-ה: 09:00-00:00
שישי: 08:30-14:00
שבת: שעה לאחר צאת השבת - לקוח אחרון",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.783081,35.203642
קפה גרג,בית קפה מסעדה,שרון,נתניה,בני ברמן 2 עיר ימים,09-7720970,בית קפה,"איטלקי,בית קפה","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: חצי שעה מצאת השבת - 23:00",כשר,Y,gregcafe.co.il/,N,N,32.279606,34.845122
קפה גרג,בית קפה מסעדה,שרון,הרצליה,שד' הכוכבים 8,09-9500569,בית קפה,"איטלקי,בית קפה","א-ה: 09:00-22:00
שישי: 10:00-16:00
שבת: 09:00-23:00",כשר,Y,gregcafe.co.il/,N,N,32.165302,34.823811
קפה גרג,בית קפה מסעדה,צפון,ראש פינה,התפוח 5,04-6801191,בית קפה,"איטלקי,בית קפה","א-ה: 07:00-לקוח אחרון
שישי: 07:00- שעה וחצי לפני כניסת שבת
שבת: שעה ממוצ""ש-לקוח אחרון",כשר למהדרין,Y,gregcafe.co.il/,N,N,32.968885,35.549996
קפה גרג,בית קפה מסעדה,צפון,אריאל,הבנאי 6,03-9303372,בית קפה,"איטלקי,בית קפה","א-ה: 07:45-23:00
שישי: 08:00-14:00
שבת: שעה לאחר צאת השבת - 23:30",כשר למהדרין,Y,gregcafe.co.il/,N,N,32.100763,35.170182
קפה גרג,בית קפה מסעדה,דרום,באר שבע,אליהו נאוי 16,086606707,בית קפה,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 08:00-23:00
שישי: 08:00-15:00
שבת: מצאת השבת - 23:00",,Y,gregcafe.co.il/,N,N,31.244458,34.810652
קפה גרג,בית קפה מסעדה,צפון,ערערה,כביש ואדי ערה,04-6359888,בית קפה,"איטלקי,בית קפה","א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",,Y,gregcafe.co.il/,N,N,32.501420,35.074329
גרג קיטשן ,בית קפה מסעדה תפריט שף בשרי ,צפון,חיפה,שדרות מוריה 110,04-8330803,מסעדה,"איטלקי,בית קפה,בשרים,מתוקים-קינוחים","א-ה: 07:30-00:00
שישי: 08:15-14:30
שבת: שעה לאחר צאת השבת - לקוח אחרון",,N,gregcafe.co.il/,N,N,32.789837,34.986395
בית הפנקייק המקורי,בית הפנקייק המקורי,שרון,הרצליה,מחלף הסירה,09-9514215,מסעדה,"בית קפה,חלבי,מתוקים-קינוחים","א-ה: 24/7
שישי: 24/7
שבת: 24/7",,Y,www.pancake.co.il,Y,N,32.157966,34.810106
DEDA,חוויה גאורגית מקורית ,שרון,נתניה,גיבורי ישראל 5,1-700700165,מסעדה,"בשרים,חלבי","א-ה: 12:00-22:00
שישי: 12:00-22:00
שבת: 12:00-22:00",,Y,www.deda.co.il/,N,N,32.275496,34.859982
יקב כישור ,מכירת יין וסיורים בתיאום מראש ,צפון,כישור,ד.נ. בקעת בית הכרם 2012300,04-9085198,בר-פאב,בר-פאב,"א-ה: 1010:00-15:00
שישי: 10:00-14:00
שבת: ",כשר,Y,kishor-winery.co.il/,Y,N,32.943497,35.249278
פרש דה מרקט ,קפה -אוכל-חברים,שרון,כפר סבא,ויצמן 207,09-9657717,מסעדה,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-23:00
שישי: 08:00-13:30
שבת: שעה וחצי מצאת השבת - 23:00",כשר,N,www.freshkitchen.co.il/,N,N,32.172083,34.928427
פרש דה מרקט ,קפה -אוכל-חברים,צפון,חדרה,שכטמן 10,04-9113233,מסעדה,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:30-23:00
שישי: 08:30-14:00
שבת: שעה לאחר צאת השבת - 23:00",כשר,N,www.freshkitchen.co.il/,N,N,32.441794,34.895049
DEDA,חוויה גאורגית מקורית ,מרכז,ראשון לציון,הרצל 75,1-700-700-165,מסעדה,בשרים,"א-ה: 12:00-22:00
שישי: 12:00-22:00
שבת: 12:00-22:00",,Y,www.deda.co.il/,N,N,31.965336,34.803065
קפה גרג,בית קפה מסעדה,צפון,חיפה,שמחה גולן 54 גרנד קניון,04-8110455,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 08:30-22:00
שישי: 08:30-15:00
שבת: 18:00-23:00",,Y,gregcafe.co.il/,N,N,32.789760,35.008029
קפה גרג,בית קפה מסעדה,צפון,פרדס חנה-כרכור,רח' תדהר 1,04-9531807,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-22:00
שישי: 09:00-14:00
שבת: חצי שעה מצאת השבת - 23:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,32.488001,34.970632
קפה גרג,בית קפה מסעדה,ירושלים,ירושלים,קניון הדר תלפיות,02-5367870,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-22:00
שישי: 09:00-14:00
שבת: חצי שעה מצאת השבת - 23:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.753575,35.213463
קפה גרג,בית קפה מסעדה,ירושלים,ירושלים,קניון ממילא,02-6254567,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-23:00
שישי: 09:00-14:00
שבת: 18:30-23:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.777684,35.224177
קפה גרג,בית קפה מסעדה,שרון,הוד השרון,קניון שרונים,09-8800890,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 07:30-22:00
שישי: 08:00-14:00
שבת: חצי שעה מצאת השבת - 23:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,32.133022,34.901767
קפה גרג,בית קפה מסעדה,צפון,חיפה,סינמול לב המפרץ,04-8403333,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-22:00
שישי: 09:00-14:00
שבת: חצי שעה מצאת השבת - 23:00",כשר,Y,gregcafe.co.il/,N,N,32.793618,35.037487
קפה גרג,בית קפה מסעדה,צפון,חיפה,משה פלימן 4 קניון חיפה,04-8550000,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: א'-ד' 08:00-22:00 ה' 08:00-23:00
שישי: 08:00-14:45
שבת: 19:00-23:00",,Y,gregcafe.co.il/,N,N,32.789686,34.965129
קפה גרג,בית קפה מסעדה,שרון,נתניה,הרצל 60 קניון השרון,09-8624488,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 08:00-22:00
שישי: 07:30-15:00
שבת: מצאת השבת - 23:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,32.326762,34.861715
מיט קיצ'ן ,מסעדת שף בשרית ,מרכז,תל אביב - יפו,יוסף יקותיאלי 4 האנגר 27,03-5364755,מסעדה,בשרים,"א-ה: 12:00-00:00
שישי: 
שבת: שעה לאחר צאת השבת - 00:00",כשר,Y,www.meatkitchen.co.il/,N,N,32.101882,34.775967
בית הפנקייק המקורי,"ארוחות בוקר, סלטים פנקייקים וקינוחים",שרון,נתניה,נתניה,6716*,מסעדה,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",,Y,www.pancake.co.il/,Y,N,32.324750,34.866876
פאט ויני,מסעדה איטלקית ,צפון,חיפה,"קניון עזריאלי, משה פלימן 4",2730*,מסעדה,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,www.fatvinny.com/,Y,N,32.789820,34.965640
אגאדיר ,המבורגרים (לא כולל עסקיות ולייט נייט) ,דרום,באר שבע,בן גוריון 2,08-6271090,מסעדה,בשרים,"א-ה: 12:00-03:00
שישי: 12:00-02:00
שבת: 12:00-02:00",,Y,agadir.co.il/branch/beer-sheba/,N,N,31.261150,34.806900
יקב צפרירים ,מכירת יין וסיורים בתיאום מראש,דרום,צפרירים,רח' היקב 48,052-4493042,יקבים ומבשלות בירה,בר-פאב,"א-ה: בתיאום טלפוני מראש
שישי: 11:00-16:00 בתיאום מראש
שבת: 11:00-16:00",,N,www.zafririmwinery.com/,Y,N,31.660823,34.944189
רובע בר - יין ,בר יין (לא כולל hppy huor ) ,מרכז,תל אביב - יפו,דיזנגוף 192,03-9136732,בר-פאב,בר-פאב,"א-ה: 17:00-02:00
שישי: 09:00-01:30
שבת: 09:30-01:30",,Y,rova-bar.co.il/,N,N,32.085911,34.774836
פארוק בשוק ,בר מסעדה ים תיכוני (לא כולל happy hour),מרכז,תל אביב - יפו,רבי נחמן 5,03-6515670,בר-פאב,בר-פאב,"א-ה: 10:00-01:00
שישי: 09:00-01:00
שבת: 09:00-01:00",,Y,faruk-bashuk.co.il/,N,N,32.040783,34.752117
גו נודלס ,מביאים את המזרח לתל אביב ,מרכז,תל אביב - יפו,קניון עזריאלי,03-6964040,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 11:15-22:00
שישי: 
שבת: ",כשר,Y,gonoodles.co.il/,N,N,32.074113,34.792214
קפה גרג,בית קפה מסעדה,צפון,עתלית,דרך הים 2,04-9962399,בית קפה,"בית קפה,חלבי,מתוקים-קינוחים","א-ה: 08:00-לקוח אחרון
שישי: 08:00-14:00
שבת: 45 דקות מצאת השבת- לקוח אחרון",כשר למהדרין,Y,gregcafe.co.il/,Y,N,32.696749,34.945418
Hamburg,מסעדת גריל אמריקאי - לא כולל עסקיות ולייט נייט ,מרכז,רחובות,המדע 1,1700-50-70-73,מסעדה,בשרים,"א-ה: 12:00-02:00
שישי: 12:00-15:00
שבת: 12:00-03:00",,Y,www.hamburg.co.il/,N,N,31.912345,34.803716
קפה גרג,בית קפה מסעדה,צפון,נצרת,דרך החטיבות 16 קניון ONE,04-6454791,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 08:00-22:00
שישי: 08:00-15:00
שבת: שעה לאחר צאת השבת - לקוח אחרון",,Y,gregcafe.co.il/,N,N,32.699420,35.311185
קפה גרג ,בית קפה מסעדה ,צפון,נצרת,מתחם ביג פאשן,04-6452954,בית קפה,"איטלקי,בית קפה,חלבי,מתוקים-קינוחים","א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",,Y,gregcafe.co.il/,N,N,32.696021,35.301084
בליקר בייקרי,מסעדה חלבית ודגים ,דרום,קריית גת,דרך הדרום 20,08-8606969,מסעדה,"איטלקי,בית קפה,דגים,חלבי","א-ה: 08:30-23:30
שישי: 08:00-13:00
שבת: מצאת השבת - לקוח אחרון",כשר,Y,bleeckerbakery.co.il/,N,N,31.605796,34.777254
אלון כהן קייטרינג ,קייטרינג שף ומגשי אירוח ,מרכז,פתח תקווה,משה שוולב 7,03-6319316,מסעדה,"איטלקי,בשרים,דגים,חלבי,טאפסים,ים תיכוני","א-ה: 09:00-18:00
שישי: 
שבת: ",כשר,Y,www.aloncohen.co.il/,N,N,32.107551,34.893911
פאסדה ,בר מסעדה (לא כולל happy hour),מרכז,תל אביב - יפו,דיזנגוף 196,054-5784488,בר-פאב,בר-פאב,"א-ה: 18:30-02:00
שישי: 13:00-19:00, 21:00-03:00
שבת: 18:00-02:00",,Y,www.facebook.com/Fasada-792560640843301/,N,N,32.086175,34.774908
אינארי ,מסעדה ,שרון,רעננה,הסדנא 2,055-9772002,מסעדה,"איטלקי,סושי-אסייאתי,כריכים-סלטים","א-ה: 10:00-18:00
שישי: 
שבת: ",,Y,,N,N,32.196217,34.878504
